dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,metadata_version,MC Aleatoric Mean,MC Epistemic Mean,MC Total Mean,P Aleatoric Mean,P Epistemic Mean,P Total Mean
imdb,0,pure_logits,greedy_5_post_calib,5,5,0.1263979226350784,1.0701541024573094,0.9062890462307372,1.0,5.854335069656372,2.5066237449646,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,mini,0.11042400449514389,0.015202800743281841,0.1256268173456192,0.0731014758348465,0.05252588540315628,0.12562735378742218
imdb,0,pure_logits,greedy_50_post_calib,50,21,0.1241735741496086,0.9886880466472304,0.9995835068721366,1.0,5.854335069656372,12.263320207595823,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,mini,0.09708864241838455,0.02049492672085762,0.11758356541395187,0.03847438097000122,0.07910919189453125,0.11758357286453247
imdb,0,pure_logits,greedy_5_post_calib,5,5,0.1006988659501075,1.6423157017909205,0.4298209079550187,1.0,0.1201834678649902,2.603549003601074,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,extended,0.09887098520994186,0.0032599158585071564,0.10213089734315872,0.09476758539676666,0.00736185722053051,0.10212944447994232
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.0971838608384132,1.53076218242399,0.614743856726364,1.0,0.1201834678649902,12.049545288085938,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,extended,0.08764354139566422,0.006506652105599642,0.09415018558502197,0.06998415291309357,0.024164853617548943,0.09414901584386826
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_post_calib,5,5,0.5301840305328369,1.3603831736776342,0.7530195751770096,1.0,0.0958883762359619,3.37072229385376,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,mini,0.4718877077102661,0.04549208655953407,0.5173797607421875,0.3841327130794525,0.1332397311925888,0.5173724889755249
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_post_calib,50,26,0.5067362785339355,1.153219491878384,0.932944606413994,1.0,0.0958883762359619,17.9794921875,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,mini,0.4259589910507202,0.06045171990990639,0.4864107072353363,0.24934785068035126,0.23708227276802063,0.48643016815185547
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_post_calib,5,5,0.4809848666191101,1.5060724698042485,0.2448979591836734,1.0,0.0922915935516357,3.3278157711029053,llm_experiments_data/arrays/extended_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,extended,0.4776901602745056,0.0038073770701885223,0.48149752616882324,0.4710884094238281,0.010417887941002846,0.4815063178539276
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_post_calib,50,21,0.4686969518661499,1.4393002915451896,0.6547271970012495,1.0,0.0922915935516357,15.484427452087402,llm_experiments_data/arrays/extended_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,extended,0.44445884227752686,0.023403415456414223,0.4678622782230377,0.3852698504924774,0.08260487020015717,0.4678747057914734
ag_news,0,pure_logits,greedy_5_post_calib,5,5,0.1978672444820404,1.7255810079133695,0.6247396917950854,1.0,0.3571178913116455,11.5939679145813,llm_experiments_data/arrays/mini_ag_news_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,mini,0.18783894181251526,0.007879387587308884,0.19571831822395325,0.1659383475780487,0.02977345511317253,0.19571179151535034
ag_news,0,pure_logits,greedy_50_post_calib,50,29,0.1908816695213318,1.650512286547272,0.7330279050395669,1.0,0.3571178913116455,74.72869968414307,llm_experiments_data/arrays/mini_ag_news_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,mini,0.17501839995384216,0.010930348187685013,0.18594875931739807,0.12252561748027802,0.06341885775327682,0.18594446778297424
ag_news,0,pure_logits,greedy_5_post_calib,5,5,0.1498976498842239,1.5609496043315287,0.7097042898792171,1.0,0.2603609561920166,12.008819580078123,llm_experiments_data/arrays/extended_ag_news_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,extended,0.14017657935619354,0.004676740616559982,0.14485330879688263,0.1261179894208908,0.018724344670772552,0.14484234154224396
ag_news,0,pure_logits,greedy_50_post_calib,50,19,0.1444517970085144,1.5184173261141192,0.614743856726364,1.0,0.2603609561920166,85.3570249080658,llm_experiments_data/arrays/extended_ag_news_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,extended,0.1340118944644928,0.0035553795751184225,0.13756726682186127,0.1176135390996933,0.019938835874199867,0.1375523805618286
dbpedia_14,0,pure_logits,greedy_5_post_calib,5,5,0.033707208931446,1.9211995002082467,0.7530195751770096,1.0,1.0110201835632324,82.38456845283508,llm_experiments_data/arrays/mini_dbpedia_14_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,mini,0.033819034695625305,0.0006323531270027161,0.03445139154791832,0.027949413284659386,0.006380526348948479,0.03432994335889816
dbpedia_14,0,pure_logits,greedy_50_post_calib,50,26,0.0314412824809551,1.7963015410245733,0.7396917950853812,1.0,1.0110201835632324,744.6906259059906,llm_experiments_data/arrays/mini_dbpedia_14_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,mini,0.0308974776417017,0.0006625551613979042,0.031560029834508896,0.022448888048529625,0.008986505679786205,0.03143538907170296
dbpedia_14,0,pure_logits,greedy_5_post_calib,5,5,0.0297356657683849,1.7658642232403166,0.4464806330695543,1.0,0.4475667476654053,116.83691239356996,llm_experiments_data/arrays/extended_dbpedia_14_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,extended,0.029662758111953735,0.00014082690177019686,0.029803581535816193,0.02833293192088604,0.0013335810508579016,0.029666511341929436
dbpedia_14,0,pure_logits,greedy_50_post_calib,50,13,0.0296356659382581,1.7255810079133695,0.6597251145356102,1.0,0.4475667476654053,973.4738047122956,llm_experiments_data/arrays/extended_dbpedia_14_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,extended,0.028729090467095375,0.0002555203391239047,0.028984608128666878,0.025576142594218254,0.003272329457104206,0.028848476707935333
